catalog_sku,catalog_handle,catalog_title,media_folder,price_verdict,price_rows,price_sku_normalized,price_solid,note
OL-21-1,ol-21-1,Стол обеденный раздвижной,oliver,MATCH_EXACT,1,OL-21-1,212000.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-23-1,ol-23-1,Стул,oliver,MATCH_EXACT,1,OL-23-1,27900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-25-1,ol-25-1,Комод столовый,oliver,MATCH_EXACT,1,OL-25-1,142900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-26-1,ol-26-1,Шкаф буфетный со стеклом и филенками,oliver,MATCH_EXACT,1,OL-26-1,150650.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-26-2,ol-26-2,Шкаф-витрина,oliver,MATCH_EXACT,1,OL-26-2,159900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-30-1,ol-30-1,Часы,oliver,MATCH_EXACT,1,OL-30-1,9950.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-42-1,ol-42-1,Тумба для телевизора,oliver,MATCH_EXACT,1,OL-42-1,55950.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-43-1,ol-43-1,Столик чайный круглый,oliver,MATCH_EXACT,1,OL-43-1,19950.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-44-1,ol-44-1,Консоль,oliver,MATCH_EXACT,1,OL-44-1,45900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-44-2,ol-44-2,Консоль с полками,oliver,MATCH_EXACT,1,OL-44-2,70950.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-55-1,ol-55-1,Банкетка малая,oliver,MATCH_EXACT,1,OL-55-1,14500.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-55-2,ol-55-2,Банкетка большая,oliver,MATCH_EXACT,1,OL-55-2,19900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-56-1,ol-56-1,Кресло,oliver,MATCH_EXACT,1,OL-56-1,58900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-57-1,ol-57-1,Диван малый,oliver,MATCH_EXACT,1,OL-57-1,118000.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-57-2,ol-57-2,Диван большой,oliver,MATCH_EXACT,1,OL-57-2,145000.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-57-3,ol-57-3,Диван-кровать малый (140×190),oliver,MATCH_EXACT,1,OL-57-3,125000.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-61-1,ol-61-1,Шкаф книжный со стеклом,oliver,MATCH_EXACT,1,OL-61-1,137900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-61-2,ol-61-2,Шкаф кабинетный,oliver,MATCH_EXACT,1,OL-61-2,121900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-62-1,ol-62-1,Стеллаж для книг,oliver,MATCH_EXACT,1,OL-62-1,103900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-62-2,ol-62-2,Стеллаж широкий,oliver,MATCH_EXACT,1,OL-62-2,72900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-64-1,ol-64-1,Стол-бюро,oliver,MATCH_EXACT,1,OL-64-1,188900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-66-1,ol-66-1,Стол письменный двухтумбовый Оливер (полки с обеих сторон),oliver,MATCH_EXACT,1,OL-66-1,131900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-66-4,ol-66-4,Стол кабинетный письменный двухтумбовый Оливер (полки с обеих сторон),oliver,MATCH_EXACT,1,OL-66-4,152600.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-67-1,ol-67-1,Стол рабочий,oliver,MATCH_EXACT,1,OL-67-1,69900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-68-1,ol-68-1,Этажерка малая 3 полки,oliver,MATCH_EXACT,1,OL-68-1,24900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-68-2,ol-68-2,Этажерка большая 6 полок,oliver,MATCH_EXACT,1,OL-68-2,48900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-69-1,ol-69-1,Полка книжная 1-ярусная,oliver,MATCH_EXACT,1,OL-69-1,14900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-69-2,ol-69-2,Полка книжная 2-ярусная,oliver,MATCH_EXACT,1,OL-69-2,18000.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-69-3,ol-69-3,Полка книжная 3-ярусная,oliver,MATCH_EXACT,1,OL-69-3,22900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-69-4,ol-69-4,Полка книжная угловая,oliver,MATCH_EXACT,1,OL-69-4,13900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-81-1,ol-81-1,Столик детский,oliver,MATCH_EXACT,1,OL-81-1,39900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-82-1,ol-82-1,Стульчик детский,oliver,MATCH_EXACT,1,OL-82-1,14300.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-85-1,ol-85-1,Кроватка для новорожденного (60 × 120),oliver,MATCH_EXACT,1,OL-85-1,72700.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-85-2,ol-85-2,Кроватка приставная + матрас,oliver,MATCH_EXACT,1,OL-85-2,33900.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
OL-95-1,ol-95-1,Кровать-трансформер (80×150) с рисунком,oliver,MATCH_EXACT,1,OL-95-1,118000.0,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
PA-05-3,pa-05-3,Комод высокий,willie-winkie,MATCH_WW_MOTIF_BODY,1,WW-BODY-05-3,113080.0,"One workbook body, motif category prices 1/2/3. Live SKUs: FA-05-3→cat2, BA-05-3→cat3, TE-05-3→cat3, RS-05-3→cat3, PA-05-3→cat3"
PV-02-1,pv-02-1,Шкаф для одежды 2-дв,provence,MATCH_EXACT,1,PV-02-1,141300.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-03-1,pv-03-1,Шкаф для одежды 3-дв,provence,MATCH_EXACT,1,PV-03-1,205700.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-05-2,pv-05-2,Комод стандартный,provence,MATCH_EXACT,1,PV-05-2,66600.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-06-2,pv-06-2,Столик туалетный,provence,MATCH_EXACT,1,PV-06-2,47300.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-08-2,pv-08-2,Тумбочка прикроватная,provence,MATCH_EXACT,1,PV-08-2,23300.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-09-1,pv-09-1,Зеркало навесное,provence,MATCH_EXACT,1,PV-09-1,13600.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-09-2,pv-09-2,Зеркало напольное,provence,MATCH_EXACT,1,PV-09-2,48900.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-14-1,pv-14-1,Кровать 1-сп. (90×190) без изножья,provence,MATCH_EXACT,1,PV-14-1,57600.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-17-1,pv-17-1,Кровать 2-сп. (160×200) без изножья,provence,MATCH_EXACT,1,PV-17-1,79700.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-18-1,pv-18-1,Кровать 2-сп. (180×200) без изножья,provence,MATCH_EXACT,1,PV-18-1,82900.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-23-1,pv-23-1,Стул,provence,MATCH_EXACT,1,PV-23-1,24900.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-42-2,pv-42-2,Тумба для телевизора,provence,MATCH_EXACT,1,PV-42-2,47800.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-43-1,pv-43-1,Столик чайный,provence,MATCH_EXACT,1,PV-43-1,20500.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-55-1,pv-55-1,Банкетка малая,provence,MATCH_EXACT,1,PV-55-1,19900.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-55-2,pv-55-2,Банкетка большая,provence,MATCH_EXACT,1,PV-55-2,26700.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-61-1,pv-61-1,Шкаф книжный,provence,MATCH_EXACT,1,PV-61-1,122100.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-62-1,pv-62-1,Стеллаж для книг,provence,MATCH_EXACT,1,PV-62-1,82100.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-65-5,pv-65-5,Стол письменный 1-тумб. 0П,provence,MATCH_EXACT,1,PV-65-5,68300.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-65-6,pv-65-6,Стол письменный 1-тумб. П0,provence,MATCH_EXACT,1,PV-65-6,68300.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-65-7,pv-65-7,Стол письменный 1-тумб. 0Я,provence,MATCH_EXACT,1,PV-65-7,83000.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-65-8,pv-65-8,Стол письменный 1-тумб. Я0,provence,MATCH_EXACT,1,PV-65-8,83000.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-66-6,pv-66-6,"Стол письменный двухтумбовый Прованс (полки слева, ящики справа)",provence,MATCH_EXACT,1,PV-66-6,103700.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-66-7,pv-66-7,"Стол письменный двухтумбовый Прованс (ящики слева, полки справа)",provence,MATCH_EXACT,1,PV-66-7,103700.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-68-1,pv-68-1,Этажерка малая 3 полки,provence,MATCH_EXACT,1,PV-68-1,17700.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-68-2,pv-68-2,Этажерка большая 6 полок,provence,MATCH_EXACT,1,PV-68-2,58600.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
PV-69-1,pv-69-1,Полка книжная,provence,MATCH_EXACT,1,PV-69-1,7600.0,Exact PV SKU. Workbook has Provence white + dark finish prices on one row.
RL-67-1,rl-67-1,Стол рабочий,willie-winkie,MATCH_WW_MOTIF_BODY,1,WW-BODY-67-1,85250.0,"One workbook body, motif category prices 1/2/3. Live SKUs: RL-67-1→cat1"
RS-05-3,rs-05-3,Комод высокий,willie-winkie,MATCH_WW_MOTIF_BODY,1,WW-BODY-05-3,113080.0,"One workbook body, motif category prices 1/2/3. Live SKUs: FA-05-3→cat2, BA-05-3→cat3, TE-05-3→cat3, RS-05-3→cat3, PA-05-3→cat3"
TE-05-3,te-05-3,Комод высокий,willie-winkie,MATCH_WW_MOTIF_BODY,1,WW-BODY-05-3,113080.0,"One workbook body, motif category prices 1/2/3. Live SKUs: FA-05-3→cat2, BA-05-3→cat3, TE-05-3→cat3, RS-05-3→cat3, PA-05-3→cat3"
